PropertyAddress,PropertyCity,PropertyState,PropertyZip,ParkName,ParkPhone,County,Lots,SizeBand,Score,Notes
4040 WEST VAN BUREN STREET,PHOENIX,AZ,85009,TRAILER CORRAL,(602) 278-6628,MARICOPA,,MEDIUM (51-100),98,unit count unknown
1656 W TIERRA BUENA LN,PHOENIX,AZ,85023,TURF PARADISE TRAVEL TRAILER PARK,(602) 942-4500,MARICOPA,,MEDIUM (51-100),98,unit count unknown
1660 WEST BELL ROAD,PHOENIX,AZ,85023,TURF TRAILER & MHP,(602) 942-8275,MARICOPA,,MEDIUM (51-100),98,unit count unknown
5918 SELLERS ROAD,HANAHAN,SC,29406,TWIN OAKS TRAILER PARK,(803) 554-5882,BERKELEY,,MEDIUM (51-100),98,unit count unknown
5560 CONCORD PKY S,CONCORD,NC,28027,VER-EL MOBILE VILLAGE,NOT AVAILABLE,CABARRUS,,MEDIUM (51-100),98,unit count unknown
755 BURCALE RD,MYRTLE BEACH,SC,29579,VILLAGE CREEK MOBILE HOME PARK,NOT AVAILABLE,HORRY,,MEDIUM (51-100),98,unit count unknown
4190 PINE ST,KANNAPOLIS,NC,28081,WAYSTAFF TOWN & COUNTRY,NOT AVAILABLE,CABARRUS,,MEDIUM (51-100),98,unit count unknown
250 SOUTH TOMAHAWK ROAD,APACHE JUNCTION,AZ,85219,WEAVERS NEEDLE TRAVEL TRAILER,(480) 982-3683,PINAL,,MEDIUM (51-100),98,unit count unknown
425 WEBSTER ROAD #810,AUBURN,AL,36832,WEBSTER'S CROSSING MOBILE HOME,(334) 821-0171,LEE,,MEDIUM (51-100),98,unit count unknown
1907 W FLAMINGO AVE,NAMPA,ID,83651,WEST PINE MANOR,NOT AVAILABLE,CANYON,,MEDIUM (51-100),98,unit count unknown
3501 GORDON DR,MYRTLE BEACH,SC,29579,WHISPERING PINES,NOT AVAILABLE,HORRY,,MEDIUM (51-100),98,unit count unknown
8827 DEERWOOD DRIVE,NORTH CHARLESTON,SC,29406,WHISPERING PINES MOBILE HOME,(843) 553-5715,CHARLESTON,,MEDIUM (51-100),98,unit count unknown
900 AIRPORT ROAD,CHATTANOOGA,TN,37421,WHISPERING PINES MOBILE HOME,(423) 899-8591,HAMILTON,,MEDIUM (51-100),98,unit count unknown
1481 PALM STREET,LAS VEGAS,NV,89104,WHISPERING SANDS MOBILE HOME,(702) 457-3909,CLARK,,MEDIUM (51-100),98,unit count unknown
20255 VICK DR,NEW CANEY,TX,77357,WHITE OAK ESTATES,NOT AVAILABLE,MONTGOMERY,,MEDIUM (51-100),98,unit count unknown
2050 SOUTH BURLESON BOULEVARD,BURLESON,TX,76028,WILLIAMS TRAILER PARK,(817) 295-7494,JOHNSON,,MEDIUM (51-100),98,unit count unknown
707 WEST 12TH STREET,COLUMBIA,TN,38401,WOODLAND MOBILE VILLAGE,(931) 381-3873,MAURY,,MEDIUM (51-100),98,unit count unknown
37216-110 ONEIDA COURT,ZEPHYRHILLS,FL,33542,ZEPHYR MINI STORAGE TRAILER PARK,(813) 782-1155,PASCO,,MEDIUM (51-100),98,unit count unknown
37707 STATE 54 ROAD,ZEPHYRHILLS,FL,33541,ANDY'S TRAVEL TRAILER PARK,(813) 782-3843,PASCO,,MEDIUM (51-100),98,RV park; unit count unknown
"401 N WALL STREET, LOT 75",BUSHNELL,FL,33513,BUSHNELL TRAILER COURT,(352) 793-3511,SUMTER,,MEDIUM (51-100),98,RV park; unit count unknown
3931 SW COLLEGE ROAD,OCALA,FL,34474,CAMPER VILLAGE,(352) 237-3236,MARION,,MEDIUM (51-100),98,RV park; unit count unknown
1425 S R 16,ST AUGUSTINE,FL,32084,COOKSEY'S R.V. PARK,(904) 824-4816,ST JOHNS,,MEDIUM (51-100),98,RV park; unit count unknown
10249 US 98 HIGHWAY,DADE CITY,FL,33525,COUNTRY AIRE MANOR RV PARK,(352) 523-1228,PASCO,,MEDIUM (51-100),98,RV park; unit count unknown
7025 FAIRVIEW VILLAGE CIRCLE,WINTER HAVEN,FL,33881,FAIRVIEW VILLAGE,(863) 422-9584,POLK,,MEDIUM (51-100),98,RV park; unit count unknown
1015 SR 542 W,DUNDEE,FL,33838,GREENFIELD VILLAGE RV PARK,(863) 439-7409,POLK,,MEDIUM (51-100),98,RV park; unit count unknown
10121 CR 44E,LEESBURG,FL,34788,HAINES CREEK RV VILLAGE,(352) 728-5939,LAKE,,MEDIUM (51-100),98,RV park; unit count unknown
4535 US HIGHWAY 92 EAST,LAKELAND,FL,33801,LAKELAND VILLAGE,(863) 665-7151,POLK,,MEDIUM (51-100),98,RV park; unit count unknown
1020 LAKESIDE DRIVE,BROOKSVILLE,FL,34601,"LAKESIDE MOBILE MANOR, LLP",(352) 796-4600,HERNANDO,,MEDIUM (51-100),98,RV park; unit count unknown
9071 TAMIAMI TRAIL S,VENICE,FL,34293,MEADOWS MOTEL & TRAILER,(941) 426-4183,SARASOTA,,MEDIUM (51-100),98,RV park; unit count unknown
10000 W LAKE LOWERY ROAD,HAINES CITY,FL,33844,OAK HARBOR CAMPGROUND & MOBILE HOME PARK,(863) 956-1341,POLK,,MEDIUM (51-100),98,RV park; unit count unknown
647 NUNA AVENUE,FORT MYERS,FL,33905,ORANGE GROVE HOME & RV PARK,(239) 694-5534,LEE,,MEDIUM (51-100),98,RV park; unit count unknown
1675 CAMP SOUTH MOON RD,ASTOR,FL,32102,PARRAMORE'S CAMPGROUND,(749) 749-2721,VOLUSIA,,MEDIUM (51-100),98,RV park; unit count unknown
6808 LAKE GRIFFIN ROAD,LADY LAKE,FL,32159,PINE ISLAND FISH CAMP INC.,(352) 753-2972,LAKE,,MEDIUM (51-100),98,RV park; unit count unknown
"34700 S HAINES CREEK ROAD, LOT O",LEESBURG,FL,34788,SHADY OAKS MHP & RV PARK,(352) 742-0234,LAKE,,MEDIUM (51-100),98,RV park; unit count unknown
902 WEST INTERSTATE 20,WEATHERFORD,TX,76086,WESTRIDGE VILLAGE MOBILE HOME,(817) 594-0459,PARKER,,MEDIUM (51-100),98,RV park; unit count unknown
1700 NE 115TH AVENUE,SILVER SPRINGS,FL,34488,WHISPERING PINES RV PARK,(352) 625-1295,MARION,,MEDIUM (51-100),98,RV park; unit count unknown
1617 HERITAGE PARK RD,PRESCOTT,AZ,86301,WILLOW LAKE RV PARK,NOT AVAILABLE,YAVAPAI,,MEDIUM (51-100),98,RV park; unit count unknown
17890 SLATER ROAD,NORTH FORT MYERS,FL,33917,AL JONES TRAILER PARK,(239) 543-4081,LEE,14,SMALL (<50),97,
2133 TURNBULL BAY ROAD,NEW SMYRNA BEACH,FL,32168,BAY-VIEW TRAILER PARK,NOT AVAILABLE,VOLUSIA,13,SMALL (<50),97,
14400 BELLA BELLA LANE,ODESSA,FL,33556,BELLA BELLA TRAILER PARK,(813) 920-2403,PASCO,11,SMALL (<50),97,
760 SAN CARLOS DRIVE,FORT MYERS BEACH,FL,33931,BON AIRE DELUXE TRAVELER COURT,(239) 218-3859,LEE,23,SMALL (<50),97,
118 COLORADO AVENUE,LAKELAND,FL,33801,COLORADO COURT,(863) 559-2005,POLK,10,SMALL (<50),97,
16001 TULIP TREE DRIVE,SPRING HILL,FL,34610,COUNTRY ACRES MOBILE HOME PARK,(727) 856-2889,PASCO,13,SMALL (<50),97,
901 NE 95TH STREET,OCALA,FL,34479,COUNTRY ESTATES MHP,(954) 520-1683,MARION,13,SMALL (<50),97,
407 WOODLAND AVENUE,LAKELAND,FL,33801,COZY COURT MOTEL & MHP & RV,(863) 665-4179,POLK,11,SMALL (<50),97,
527 W CRESCENT DRIVE,LAKELAND,FL,33809,CRESCENT COURT MHP A,(863) 559-9623,POLK,11,SMALL (<50),97,
5100 S PINE AVENUE,OCALA,FL,34470,CROSS COUNTRY MOTOR LODGE,(352) 288-9800,MARION,15,SMALL (<50),97,
224 S LAKE AVENUE,TAVARES,FL,32778,DORA CANAL COURT,(352) 343-6481,LAKE,14,SMALL (<50),97,
1709 RIDGEWOOD AVENUE S,EDGEWATER,FL,32132,DRIFTWOOD VILLAGE,(386) 428-2906,VOLUSIA,24,SMALL (<50),97,
755 ESPANOLA AVENUE,ORMOND BEACH,FL,32174,EL RAY TRAILER PARK,NOT AVAILABLE,VOLUSIA,10,SMALL (<50),97,
145 TOUCHSTONE ROAD,NORTH FORT MYERS,FL,33903,EVERGREEN TRAILER PARK,(239) 936-6167,LEE,14,SMALL (<50),97,
3804 N FLORIDA AVENUE,LAKELAND,FL,33805,FOREST OAK ESTATES,(863) 682-8792,POLK,12,SMALL (<50),97,
4511 LAND O'LAKES BOULEVARD,LAND O' LAKES,FL,34639,GARLAND MOTOR COURT,(813) 996-2330,PASCO,12,SMALL (<50),97,
2911 LOCKWOOD RIDGE ROAD N,SARASOTA,FL,34234,GILLESPIE VILLAGE,(941) 953-6970,SARASOTA,20,SMALL (<50),97,
37219 GONZALEZ COURT,DADE CITY,FL,33525,GONZALEZ BROS. COURT,(813) 714-4394,PASCO,15,SMALL (<50),97,
6025 NEW TAMPA HIGHWAY,LAKELAND,FL,33811,GREEN VILLAGE MOBILE HOME PARK,NOT AVAILABLE,POLK,10,SMALL (<50),97,
200 NW 73RD AVENUE,OCALA,FL,34482,HAPPY ACRES M H P,(352) 598-8659,MARION,10,SMALL (<50),97,
5564 BAYSHORE DRIVE W,PONCE INLET,FL,32127,HARBOR OAKS TRAILER PARK,(386) 441-1874,VOLUSIA,10,SMALL (<50),97,
6637 AVENUE A,SARASOTA,FL,34231,HAVENER TRAILER PARK,(941) 924-2257,SARASOTA,17,SMALL (<50),97,
725 CHESTNUT ROAD,LAKELAND,FL,33801,HELEN'S MOBILE HOME PARK,(863) 422-4272,POLK,11,SMALL (<50),97,
1305 HOWELL AVENUE,BROOKSVILLE,FL,34601,HICKORY GROVE MOBILE HOME PARK,(813) 679-1981,HERNANDO,18,SMALL (<50),97,
1247 LPGA BOULEVARD,HOLLY HILL,FL,32117,HILLSIDE TRAILER PARK,(386) 366-3480,VOLUSIA,20,SMALL (<50),97,
10950 SE 19 COURT,OCALA,FL,34480,HOPE'S MOBILE HOME PARK,(352) 368-1803,MARION,13,SMALL (<50),97,
3471 BAHIA VISTA STREET,SARASOTA,FL,34239,HOSTETLER TRAILER PARK,(941) 650-0135,SARASOTA,21,SMALL (<50),97,
1149 IDLEWILD AVENUE,GREEN COVE SPRINGS,FL,32043,IDLEWILD TRAILER PARK,(904) 572-8315,CLAY,10,SMALL (<50),97,
3625 KATHLEEN ROAD,LAKELAND,FL,33809,KATHLEEN OAK MHP,(863) 859-6630,POLK,16,SMALL (<50),97,
20046 JOSEPH LANE,LAND O' LAKES,FL,34639,KAY'S MOBILE HOME PARK,(813) 996-4104,PASCO,13,SMALL (<50),97,
38814 C AVENUE,ZEPHYRHILLS,FL,33542,KIMBALL COURT,(407) 876-3990,PASCO,22,SMALL (<50),97,
27966 OAKLAND DR,BONITA SPRINGS,FL,34135,KINGSTON ACRES MOBILE HOME PARK,(239) 992-2658,LEE,18,SMALL (<50),97,
1090 N US 1 HIGHWAY,ORMOND BEACH,FL,32174,KURRAS MOBILE VILLAGE,(386) 308-6961,VOLUSIA,12,SMALL (<50),97,
1500 KAUFMAN AVENUE,SARASOTA,FL,34239,L AND L TRAILER PARK,(941) 957-1937,SARASOTA,15,SMALL (<50),97,
